TransactionID,Date_,ProductCategory,ProductName,UnitsSold,UnitPrice,TotalRevenue,Region,PaymentMethod
10187,05-07-2024,Electronics,Sonos Beam Soundbar,1,399,399,North America,Credit Card
10188,06-07-2024,Home Appliances,Anova Precision Cooker,2,199,398,Europe,PayPal
10191,09-07-2024,Beauty Products,Glossier Cloud Paint,1,18,18,Europe,PayPal
10192,10-07-2024,Sports,TRX All-in-One Suspension Training System,1,169.95,169.95,Asia,Credit Card
10197,15-07-2024,Beauty Products,Tom Ford Black Orchid Perfume,1,125,125,Europe,PayPal
10198,16-07-2024,Sports,GoPro HERO9 Black,1,449.99,449.99,Asia,Credit Card
10199,17-07-2024,Electronics,Apple TV 4K,2,179,358,North America,Credit Card
10206,24-07-2024,Home Appliances,KitchenAid Stand Mixer,1,379.99,379.99,Europe,PayPal
10209,27-07-2024,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79,79,Europe,PayPal
10210,28-07-2024,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129,129,Asia,Credit Card
10212,30-07-2024,Home Appliances,Keurig K-Elite Coffee Maker,2,169.99,339.98,Europe,PayPal
10213,31-07-2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,9.9,39.6,Asia,Debit Card
10215,02-08-2024,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29,58,Europe,PayPal
10217,04-08-2024,Electronics,Apple MacBook Pro 16-inch,1,2399,2399,North America,Credit Card
10221,08-08-2024,Beauty Products,Tarte Shape Tape Concealer,1,27,27,Europe,PayPal
10227,14-08-2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,6.7,6.7,Europe,PayPal
10228,15-08-2024,Sports,Fitbit Luxe,2,149.95,299.9,Asia,Credit Card
10229,16-08-2024,Electronics,Google Nest Wifi Router,1,169,169,North America,Credit Card
10230,17-08-2024,Home Appliances,Anova Precision Oven,1,599,599,Europe,PayPal
10231,18-08-2024,Clothing,Adidas Originals Trefoil Hoodie,4,64.99,259.96,Asia,Debit Card
10233,20-08-2024,Beauty Products,Fresh Sugar Lip Treatment,1,24,24,Europe,PayPal
10234,21-08-2024,Sports,Hydro Flask Standard Mouth Water Bottle,3,32.95,98.85,Asia,Credit Card
10235,22-08-2024,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299,299,North America,Credit Card
10237,24-08-2024,Clothing,Nike Air Force 1 Sneakers,3,90,270,Asia,Debit Card
10239,26-08-2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55,55,Europe,PayPal
